participant,time,iat
ARAR65,001,0.1792017776531875
ARAR65,002,0.4091320233654171
ARAR98,001,-0.4955820252635227
ARAR98,002,-0.3624430346501241
ARAS94,001,0.5166094865288232
ARAS94,002,0.6338874017482425
ARDR97,001,0.7308450427710546
ARDR97,002,-0.2788315959934612
ARDS53,001,0.4635566379746274
ARDS53,002,-0.3980438027454727
ARGZ94,001,-0.11750163213195425
ARGZ94,002,0.7159930164634808
ARHL00,001,0.7759046163239238
ARHL00,002,0.5418772495077112
ARJA99,001,-0.12557740789184296
ARJA99,002,0.10961406553629917
ARLW94,001,0.10589964104649888
ARLW94,002,0.059202358142144584
ARLW95,001,0.5530198394514994
ARLW95,002,0.42710043686405647
ARMS94,001,0.14890680557551966
ARMS94,002,0.04724575636027796
ARSF95,001,-0.6033349766735514
ARSF95,002,-0.6229967456413785
ARSW00,001,0.3258842017490595
ARSW00,002,0.8852089731371591
ASCH96,001,0.9198404032522105
ASCH96,002,0.8265022724020493
ASDB98,001,0.06168885552880936
ASDB98,002,-0.1601338477317767
ASDG98,001,0.08683445362362426
ASDG98,002,-0.3560468733022717
ASFG97,001,0.8839611395936762
ASFG97,002,0.6706297828582384
ASHK62,001,0.25502159046179174
ASHK62,002,0.02918422478393269
ASJK92,001,0.2851058985709497
ASJK92,002,0.19850362342159583
ASLB95,001,0.6827699500272626
ASLB95,002,0.3819681895317607
ASLH01,001,0.45317714583838486
ASLH01,002,0.6016114720013646
ASLI98,001,0.5992676572912039
ASLI98,002,0.0945520029385141
ASLK98,001,-0.4624609380569769
ASLK98,002,-0.4426300518151002
ASMS67,001,0.22370199121870854
ASMS67,002,0.6201587736321251
ASSA97,001,0.2836849931223976
ASSA97,002,0.5838893122073716
ASSG97,001,0.8418688289462838
ASSG97,002,0.08066941220967663
ASSS97,001,-0.0035397369028398185
ASSS97,002,0.5225724065014347
ASSS99,001,0.14774639137387258
ASSS99,002,0.5189906125646873
FSAN68,001,0.4229598450570815
FSAN68,002,0.18523575684105112
FSCS91,001,0.20549164643467752
FSCS91,002,-0.23735856106760508
FSFW69,001,0.29235245797053716
FSFW69,002,0.12188052402162218
FSHM98,001,0.7907888226718685
FSHM98,002,0.11458885725081255
FSJM98,001,0.07773439957497749
FSJM98,002,-0.2993798741551493
FSJS67,001,0.3836391461518414
FSJS67,002,0.32523838755809814
FSJS96,001,0.9113826275870283
FSJS96,002,0.40107486898561573
FSJX99,001,0.5004059534923507
FSJX99,002,1.092448787137684
FSLK99,001,0.6040134528550374
FSLK99,002,0.912341525751308
FSLM98,001,0.11556957880574581
FSLM98,002,0.27930607903102384
FSLW90,001,0.17872486774622365
FSLW90,002,-0.30338221290184375
FSMM90,001,-0.11109545302388633
FSMM90,002,-0.11565642060099099
FSNK87,001,0.9892861878153687
FSNK87,002,0.6338777124304837
FSNS94,001,0.684824304049261
FSNS94,002,0.2604939215721612
FSPG98,001,0.07113104393041532
FSPG98,002,0.4585198799322157
JWEE96x,001,0.6113521751102352
JWEE96x,002,0.3278125439352225
JWES98x,001,0.41271574244907616
JWES98x,002,0.32779264751368703
JWFN90x,001,0.5906140749818649
JWFN90x,002,0.39528214284546476
JWIK97x,001,0.3312837876162582
JWIK97x,002,0.5092979626620495
JWJL98x,001,0.6497474290079965
JWJL98x,002,0.7022772788186755
JWLB98x,001,0.3190940589548366
JWLB98x,002,0.013052772616369281
JWLH98x,001,0.6380083495563185
JWLH98x,002,0.12478030682126277
JWLL97x,001,0.07960278440035656
JWLL97x,002,-0.7557289040217481
JWLT89,001,0.6182666848894541
JWLT89,002,0.07279779445012247
JWML63x,001,1.0733252634896666
JWML63x,002,0.11116974787444481
JWNW94x,001,0.8252790200999045
JWNW94x,002,0.8774143245008197
JWPJ97x,001,-0.010314722873870565
JWPJ97x,002,0.19302225163771247
JWRV98x,001,0.6714137707584638
JWRV98x,002,0.4620046287141656
JWSK96x,001,0.3414959820002036
JWSK96x,002,0.9547441310098055
JWYA97x,001,0.23334750741580937
JWYA97x,002,0.4584805608131729
NSAP98,001,-0.21969337681297474
NSAP98,002,-0.5297791374578371
NSAS99,001,0.27767432598013614
NSAS99,002,0.26759898146482625
NSDS65,001,-0.2041495530630636
NSDS65,002,-0.5714918219420988
NSGC98,001,0.034106463854714414
NSGC98,002,0.569424335503405
NSGS90,001,-0.4425996057321806
NSGS90,002,-0.46463929951020516
NSHM97,001,-0.10868110883973515
NSHM97,002,0.6259550809717238
NSIW98,001,-0.2140683142088023
NSIW98,002,0.25365114878149697
NSKS95,001,0.7302142026552974
NSKS95,002,0.6574603458730426
NSLK97,001,-0.13522599150746928
NSLK97,002,0.5009028364150065
NSLR97,001,0.2621758397083483
NSLR97,002,0.036829823249062366
NSMS57,001,0.3507583473457938
NSMS57,002,0.458803671313368
NSNT98,001,0.1625986200295053
NSNT98,002,-0.3220119490993277
NSSS01,001,-0.2220449210010137
NSSS01,002,-0.15840101341920718
NSVS96,001,0.33821438258903463
NSVS96,002,-0.1774405406545149
NSVS97,001,-0.029338788851761943
NSVS97,002,-0.4133690170455444
